"eventDate","decimalLatitude","decimalLongitude","basisOfRecord","kingdom","taxonRank","occurrenceStatus","sex","lifeStage","scientificName","scientificNameID","minimumDepthInMeters","maximumDepthInMeters","organismID","occurrenceID","geodeticDatum","eventID","coordinateUncertaintyInMeters","dataGeneralizations","references"
"2009-09-23T00:00:00Z",34.03,-118.56,"HumanObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-09-23T00:00:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-09-23T00:00:00Z",0,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-09-25T11:09:00Z",34.024,-118.556,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-09-25T11:09:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-09-25T11:09:00Z",1500,"first of  2 records","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-09-27T17:58:00Z",34.033,-118.547,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-09-27T17:58:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-09-27T17:58:00Z",1500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-08T20:24:00Z",34.038,-118.581,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-08T20:24:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-08T20:24:00Z",500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-15T11:05:00Z",33.995,-118.678,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-15T11:05:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-15T11:05:00Z",10000,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-17T06:11:00Z",34.037,-118.545,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-17T06:11:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-17T06:11:00Z",10000,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-17T09:00:00Z",34.026,-118.534,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-17T09:00:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-17T09:00:00Z",500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-17T10:38:00Z",34.027,-118.545,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-17T10:38:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-17T10:38:00Z",250,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-18T08:48:00Z",34.039,-118.548,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-18T08:48:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-18T08:48:00Z",1500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-18T10:26:00Z",34.031,-118.541,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-18T10:26:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-18T10:26:00Z",500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-18T11:15:00Z",34.041,-118.535,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-18T11:15:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-18T11:15:00Z",10000,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-23T23:52:00Z",33.999,-118.612,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-23T23:52:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-23T23:52:00Z",500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-24T00:06:00Z",34.002,-118.604,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-24T00:06:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-24T00:06:00Z",10000,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-26T10:53:00Z",34.022,-118.537,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-26T10:53:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-26T10:53:00Z",250,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-27T16:21:00Z",34.01,-118.524,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-27T16:21:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-27T16:21:00Z",1500,"first of  2 records","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-29T11:53:00Z",33.989,-118.504,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-29T11:53:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-29T11:53:00Z",500,"","https://www.ncei.noaa.gov/archive/accession/0282699"
"2009-10-31T21:15:00Z",34.045,-118.53,"MachineObservation","Animalia","Species","present","male","juvenile","Carcharodon carcharias","urn:lsid:marinespecies.org:taxname:105838",0,0,"105838_great_white_shark","2009-10-31T21:15:00Z_0_great_white_shark","EPSG:4326","great_white shark_2009-10-31T21:15:00Z",10000,"","https://www.ncei.noaa.gov/archive/accession/0282699"
